Word,Translation,OriginalWord,Transcription
το φως,la lumière,,
το σκοτάδι,l'obscurité,,
η ζέστη,la chaleur,,
το κρύο,le froid,,
η φωνή,la voix,,
η σκέψη,la pensée,,
η γλώσσα,la langue,,
ο τόπος,le lieu,,
ο τρόπος,la manière,,
το σώμα,le corps,,
η ψυχή,l'âme,,
η καρδιά,le cœur,,
το μυαλό,l'esprit,,
βαρετός,ennuyeux,,
το δημοτικό,l'école primaire,,
η σχολή,la faculté,,
το νηπιαγωγείο,la maternelle,,
το λύκειο,le lycée,,
το γυμνάσιο,le collège,,
η τάξη,la classe,,
εξετάζω,examiner,,
το έγγραφο,le document,,
το πτυχίο,le diplôme,,
ο βαθμός,la note,,
η εξέταση,l'examen,,
επιτυχών,réussi,,
ελέγχω,vérifier,,
το διδακτορικό,le doctorat,,
ο στόχος,l'objectif,,
το μεταπτυχιακό,le master,,
η διδασκαλία,l'enseignement,,
η ιστορία,l'histoire,,
το εξάμηνο,le semestre,,
ο δάσκαλος,l'instituteur,,
λύνω,résoudre,,
η σημασία,l'importance,,
η σελίδα,la page,,
η διάλεξη,la conférence,,
το πανεπιστήμιο,l'université,,
η άσκηση,l'exercice,,
η παρουσίαση,la présentation,,
ο καθηγητής,le professeur,,
η λέξη,le mot,,
η πρόταση,la proposition,,
το κεφάλαιο,le chapitre,,
η γνώση,la connaissance,,
ο κανόνας,la règle,,
το μάθημα,la leçon,,
το διαγώνισμα,le contrôle,,
ο λόγος,la raison,,
σπουδάζω,étudier,,
η εκπαίδευση,l'éducation,,
το πρόγραμμα,le programme,,
μαθαίνω,apprendre,,
οι σπουδές,les études,,
ύποπτος,suspect,,
πολυτελής,luxueux,,
συναρπαστικός,passionnant,,
ελκυστικός,attrayant,,
σύντομος,court,,
πονηρός,rusé,,
σπάνιος,rare,,
επιθετικός,agressif,,
σπουδαίος,excellent,,
περίπλοκος,complexe,,
ρομαντικός,romantique,,
εξυπηρετικός,serviable,,
συνηθισμένος,habituel,,
χαλαρός,détendu,,
κορυφαίος,premier,,
σκληρός,dur,,
χαμηλός,bas,,
δραστήριος,actif,,
καινούριος,nouveau,,
άνετος,confortable,,
ασφαλής,sûr,,
τυχερός,chanceux,,
ευαίσθητος,sensible,,
